FID,LAND_VALUE,POI_ATM,POI_COFFEE,POI_HOSPITAL,POI_BTS,POI_PHARMACY,POI_DEPT_STORE
0,14000.0,8,1,0,0,4,0
1,41000.0,22,12,1,0,4,0
2,17000.0,11,4,1,0,2,0
3,19000.0,10,6,0,0,2,0
4,47000.0,29,14,0,0,5,0
5,37000.0,16,10,2,5,5,0
6,64000.0,43,13,0,0,8,1
7,10000.0,8,0,0,0,2,0
8,19000.0,10,5,0,0,3,0
9,24000.0,14,6,0,0,3,0
10,25000.0,15,6,0,0,4,0
11,23000.0,15,4,0,0,3,0
12,46000.0,28,15,0,0,8,0
13,144000.0,61,88,0,0,3,1
14,7000.0,3,1,0,0,1,0
15,7000.0,3,1,0,0,1,0
16,35000.0,22,8,1,0,7,0
17,42000.0,22,15,2,0,5,0
18,107000.0,41,70,0,0,0,1
19,10000.0,4,3,1,0,0,0
20,4000.0,2,1,0,0,1,0
21,313000.0,177,132,2,0,24,1
22,27000.0,14,7,0,0,3,0
23,54000.0,25,27,1,0,4,0
24,24000.0,14,4,0,0,2,0
25,57000.0,33,19,0,0,3,0
26,28000.0,17,9,0,0,5,0
27,36000.0,16,10,2,5,6,0
28,25000.0,15,7,2,0,4,0
29,34000.0,20,8,1,0,6,1
30,24000.0,6,7,1,5,2,0
31,19000.0,5,5,1,5,2,0
32,15000.0,9,5,0,0,3,0
33,25000.0,13,6,1,0,6,0
34,33000.0,15,10,0,0,9,0
35,32000.0,14,8,0,0,10,0
36,41000.0,25,12,0,0,10,0
37,16000.0,10,3,0,0,2,0
38,14000.0,9,4,0,0,1,0
39,38000.0,15,10,3,5,4,0
40,32000.0,16,15,0,0,2,0
41,51000.0,31,15,0,0,7,0
42,19000.0,9,6,0,0,3,0
43,28000.0,12,7,1,5,6,0
44,73000.0,36,30,1,0,8,3
45,152000.0,73,82,0,0,5,2
46,41000.0,18,13,1,2,11,0
47,67000.0,43,17,0,0,9,1
48,37000.0,17,16,0,0,6,0
49,53000.0,21,26,1,0,4,2
50,31000.0,10,11,1,5,6,0
51,61000.0,26,30,1,0,4,2
52,111000.0,46,71,0,0,0,1
53,18000.0,10,5,1,0,1,0
54,28000.0,15,8,0,0,6,0
55,28000.0,15,8,0,0,2,0
56,103000.0,46,43,2,3,17,2
57,51000.0,26,23,0,0,6,0
58,75000.0,56,14,0,0,10,1
59,22000.0,14,6,2,0,3,0
60,20000.0,10,8,0,0,5,0
